model,detector_input,anomaly_target,f1_gate,recall_gate
Classical,audio,audio,0.266,0.164
Classical,audio,video,0.0,0.0
Classical,audio,env,0.0,0.0
Classical,video,audio,0.235,0.156
Classical,video,video,0.678,1.0
Classical,video,env,0.26,0.172
Classical,env,audio,0.0,0.0
Classical,env,video,0.0,0.0
Classical,env,env,0.76,0.989
Classical,all(concat),audio,0.475,0.378
Classical,all(concat),video,0.281,0.178
Classical,all(concat),env,0.111,0.061
Classical,AV(OR-gate),audio,0.383,0.292
Classical,AV(OR-gate),video,0.678,1.0
Classical,AV(OR-gate),env,0.26,0.172
Classical,all(OR-gate),audio,0.383,0.292
Classical,all(OR-gate),video,0.678,1.0
Classical,all(OR-gate),env,0.733,0.989
