modality,feature,top_cross_partner,top_cross_corr
audio,aud_mel48_std,env_day_index,0.784
audio,aud_mel47_mean,env_day_index,0.755
audio,aud_mel62_mean,vid_dark_fraction,0.629
audio,aud_mel12_mean,vid_gridmean15,0.587
audio,aud_mel26_std,vid_dark_fraction,0.444
audio,aud_mel00_mean,vid_gridmean03,0.421
audio,aud_mel10_mean,vid_gridmean03,0.375
audio,aud_n_frames,vid_gridmean15,0.373
audio,aud_mel17_mean,vid_gridmean01,0.361
audio,aud_mel10_std,env_day_index,0.326
audio,aud_mel01_std,vid_gridmean03,0.326
audio,aud_mel26_mean,env_temp_roll_slope_c_per_day,0.319
audio,aud_mel06_std,vid_dark_fraction,0.274
audio,aud_mel03_std,vid_gridmean03,0.248
audio,aud_mel00_std,vid_gridmean15,0.237
audio,aud_mel05_mean,vid_gridmean15,0.224
audio,aud_mel08_mean,vid_gridstd07,0.216
audio,aud_mel05_std,vid_dark_fraction,0.195
audio,aud_mel04_std,vid_gridmean12,0.191
audio,aud_mel02_mean,vid_gridmean11,0.186
audio,aud_mel03_mean,vid_gridmean11,0.179
audio,aud_mel01_mean,vid_gridmean07,0.178
audio,aud_mel08_std,env_day_index,0.145
audio,aud_gap_hours_since_prev,env_temp_am_min_c,0.134
env,env_day_index,aud_mel48_std,0.784
env,env_temp_roll_slope_c_per_day,vid_gridstd03,0.507
env,env_temp_am_range_c,vid_gridmean15,0.484
env,env_temp_am_pm_swing_c,vid_gridmean15,0.318
env,env_temp_am_min_c,vid_gridstd05,0.29
env,env_temp_rate_c_per_day,vid_gridstd03,0.232
env,env_rh_rate_pct_per_day,aud_mel17_mean,0.182
env,env_rh_pm_pct,vid_gridmean07,0.155
env,env_rh_am_pm_change_pct,aud_mel01_mean,0.119
video,vid_gridstd05,env_day_index,0.751
video,vid_gridmean15,env_day_index,0.719
video,vid_gridmean12,env_day_index,0.657
video,vid_gridmean00,env_day_index,0.642
video,vid_dark_fraction,aud_mel62_mean,0.629
video,vid_flow_mean_avg,env_day_index,0.539
video,vid_gridmean03,env_day_index,0.533
video,vid_gridstd03,env_day_index,0.523
video,vid_gridstd13,env_day_index,0.494
video,vid_gridmean01,aud_mel47_mean,0.438
video,vid_n_pairs,aud_mel62_mean,0.369
video,vid_gridstd07,aud_mel17_mean,0.311
video,vid_gridstd11,aud_mel12_mean,0.302
video,vid_gridstd02,aud_mel47_mean,0.296
video,vid_gridmean11,env_day_index,0.267
video,vid_gridmean07,aud_mel62_mean,0.242
video,vid_gridmean10,env_temp_am_range_c,0.098
