gap_start,gap_hours
2025-06-12 23:22:09.016,540.5866622222222
2025-07-05 18:22:06.016,91.40610666666666
2025-07-09 16:01:11.952,651.0061244444445
2025-08-06 05:22:12.016,10.131106666666666
2025-08-06 21:23:49.016,27.227217777777778
2025-08-08 03:26:27.952,79.76362444444445
2025-08-11 14:40:34.952,51.05668
2025-08-13 21:28:34.952,123.7227911111111
2025-08-19 09:46:55.952,5.668902222222222
2025-08-19 19:23:55.016,44.26527333333333
2025-08-21 18:28:31.952,97.52334666666667
2025-08-26 00:19:33.016,64.35082888888888
2025-08-28 19:27:07.952,24.17890222222222
2025-08-29 22:51:40.952,370.15001333333333
