folder,n_files,n_sessions,n_anomalous_sessions,unreadable,no_timecode,no_chapter_start,earliest_chapter_start,latest_chapter_start
"Room 6 (10, 11, 12, 13 Aug)",90,1,0,0,0,0,2025-08-10 12:30:17.934267,2025-08-13 14:56:37.867533
"Room 6 (13, 14, 15 Aug)",40,1,0,0,0,0,2025-08-13 16:14:08.400400,2025-08-15 00:51:17.734067
"Room 6 (16, 17 Aug)",40,1,0,0,0,0,2025-08-16 06:00:04.000000,2025-08-17 14:37:13.400400
"Room 6 (17, 18, 19 Aug)",54,1,0,0,0,0,2025-08-17 15:27:12.000000,2025-08-19 11:46:55.467133
"Room 6 (19, 20, 21 Aug)",50,1,1,0,0,0,2025-08-19 13:01:45.200200,2025-08-21 11:53:05.867533
"Room 6 (23, 24, 25 Aug)",69,1,0,0,0,0,2025-08-23 06:00:04.066733,2025-08-25 14:52:32.734067
"Room 6 (25, 26, 27 Aug)",56,1,0,0,0,0,2025-08-25 16:11:59.400400,2025-08-27 14:12:05.000000
Room 6 (27 - 31 July),115,1,1,0,0,0,2025-07-27 12:28:34.300300,2025-08-15 22:26:33.300300
"Room 6 (27, 28, 29 Aug)",55,1,0,0,0,0,2025-08-27 15:26:23.734067,2025-08-29 12:36:18.266933
"Room 6 (29, 30 Aug)",40,1,0,0,0,0,2025-08-29 13:50:50.233567,2025-08-30 22:27:59.633967
"Room 6 (3, 4, 5 Aug)",59,1,0,0,0,0,2025-08-03 12:17:31.266933,2025-08-05 12:48:09.867533
"Room 6 (31 Aug, 1 Sep)",46,1,0,0,0,0,2025-08-29 23:18:10.700700,2025-08-31 12:56:26.166833
Room 6 (31 July - 3 Aug),85,1,0,0,0,0,2025-07-31 13:21:42.266933,2025-08-03 11:37:07.200200
"Room 6 (5, 6, 7 July)",57,1,0,0,0,0,2025-08-05 13:28:58.967633,2025-08-07 12:19:15.567233
"Room 6 (7, 8, 9, 10 Aug)",84,1,0,0,0,0,2025-08-07 13:36:46.166833,2025-08-10 11:01:59.967633
"Room 6 - 10, 11, 12, 13 July",98,25,0,0,0,0,2025-07-10 13:05:39.000000,2025-07-13 12:11:14.867533
"Room 6 - 14, 15, 16 July",49,23,0,0,0,0,2025-07-15 15:48:22.000000,2025-07-27 22:45:09.333667
"Room 6 - 17, 18, 19 July",86,17,1,0,1,1,2025-07-15 02:36:32.000000,2025-07-25 01:46:21.000000
"Room 6 - 20, 21, 22 July",82,1,1,0,0,0,2025-07-19 20:27:57.567233,2025-07-22 19:37:46.567233
"Room 6 - 23, 24, 25 July",71,35,0,1,0,0,2025-07-24 17:44:02.567233,2025-08-11 17:37:52.166833
"Room 6 - 26, 27 July",42,1,0,0,0,0,2025-07-25 23:53:32.934267,2025-07-27 10:11:04.333667
"Room 6 - 3, 4, 5, 6 July",85,5,0,0,0,0,2025-07-03 14:11:21.900900,2025-07-07 11:15:22.367033
