folder,n_files,n_usable,n_records
"Room 6 (10, 11, 12, 13 Aug)",90,90,134079
"Room 6 (13, 14, 15 Aug)",40,40,58855
"Room 6 (16, 17 Aug)",40,40,58664
"Room 6 (17, 18, 19 Aug)",54,54,79726
"Room 6 (19, 20, 21 Aug)",50,50,43802
"Room 6 (23, 24, 25 Aug)",69,69,103345
"Room 6 (25, 26, 27 Aug)",56,56,83676
Room 6 (27 - 31 July),115,115,172572
"Room 6 (27, 28, 29 Aug)",55,55,82694
"Room 6 (29, 30 Aug)",40,40,60143
"Room 6 (3, 4, 5 Aug)",59,59,87618
"Room 6 (31 Aug, 1 Sep)",46,46,67810
Room 6 (31 July - 3 Aug),85,85,126434
"Room 6 (5, 6, 7 July)",57,57,84374
"Room 6 (7, 8, 9, 10 Aug)",84,84,124938
"Room 6 - 10, 11, 12, 13 July",98,98,146411
"Room 6 - 14, 15, 16 July",49,49,72339
"Room 6 - 17, 18, 19 July",86,85,127577
"Room 6 - 20, 21, 22 July",82,82,123290
"Room 6 - 23, 24, 25 July",71,70,102403
"Room 6 - 26, 27 July",42,42,62404
"Room 6 - 3, 4, 5, 6 July",85,85,125374
